facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
SURGICAL CENTER OF SOUTH JERSEY LIMITED PARTNERSHIP DBA FELLOWSHIP SURGICAL CENTER,31C0001220,1629705231,MOUNT LAUREL,NJ,08054,2024,,5,0.039,,,5,0.039,,,5,,5,,,,,,5,,5,,5,37,No Different Than the National Rate,2.7,1.7,4.3,,,,,,,5,,,,,,5
PG COUNTY ENDOSCOPY CENTER LLC,21C0001662,1629713730,RIVERDALE,MD,20737,2024,,5,,5,,5,,5,,5,,5,104,No Different Than the National Rate,10.2,7.3,14.1,,,5,,5,,,,,,5,,,,,,5,,,,,,5
ST VINCENT HOSPITAL HOSPITAL SISTERS THIRD ORDER OF ST FRANCIS DBA PREVEA SURGERY CENTER,52C0001143,1629738471,GREEN BAY,WI,54303,2024,,5,,5,,5,0.032,,93.82,,,5,462,No Different Than the National Rate,11.1,8,15.1,,98.97,,,5,64,No Different Than the National Rate,2.4,1.5,3.9,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
ENDOSURG OUTPATIENT CENTER LLC,10C0001346,1639105455,LADY LAKE,FL,32159,2024,,5,,5,,5,,5,88.68,,,5,1555,No Different Than the National Rate,10.3,7.8,13.6,,,5,,5,,,,,,5,,,,,,5,,,,,,5
MISSOULA BONE AND JOINT SURGERY CENTER,27C0001018,1639126303,MISSOULA,MT,59808,2024,0.000,,0.021,,0.000,,0.147,,,5,,5,,,,,,5,100.00,,,5,1444,No Different Than the National Rate,2,1.5,2.7,,,,,,,5,35,No Different than expected,1,0.6,1.9,
PUEBLO AMBULATORY SURGERY CENTER LLC,06C0001029,1639134505,PUEBLO,CO,81001,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,79,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
GREENSBORO OPHTHALMOLOGY ASC LLC,34C0001014,1639142656,GREENSBORO,NC,27410,2024,0.000,,0.020,,0.000,,0.040,,,5,,5,,,,,,5,,5,0.138,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
AMBULATORY SURGERY CENTER LLC,18C0001021,1639142706,PADUCAH,KY,42003,2024,0.000,,0.036,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
CENTENNIAL ASC LLC,45C0001396,1639146541,FRISCO,TX,75035,2024,0.000,,0.013,,0.000,,0.013,,15.95,,,5,313,No Different Than the National Rate,9.7,7.1,13.3,,100.00,,0.000,,,Number of Cases Too Small,,,,1,,,,,,5,98,No Different than expected,1,0.5,1.7,
DE LA VINA SURGICENTER,05C0001194,1639149255,SANTA BARBARA,CA,93105,2024,0.000,,0.036,,0.000,,0.109,,,5,,5,,,,,,5,100.00,,,5,858,No Different Than the National Rate,2.6,1.8,3.7,,,,,,,5,127,No Different than expected,1.1,0.6,1.9,
BIG SKY SURGERY CENTER LLC,27C0001013,1639158645,MISSOULA,MT,59804,2024,0.054,,0.000,,0.000,,0.136,,,5,,5,,,,,,5,99.47,,,5,459,No Different Than the National Rate,2,1.3,2.9,,200,No Different Than the National Rate,6.4,4.4,9.1,,28,No Different than expected,1,0.5,1.8,
THE SURGERY CENTER AT SACRED HEART MEDICAL PARK DESTIN LLC,10C0001410,1639164916,DESTIN,FL,32541,2024,,5,,5,,5,0.030,,,5,,5,,,,,,5,98.50,,,5,280,No Different Than the National Rate,2.3,1.5,3.4,,,,,,,5,,Number of Cases Too Small,,,,1
BERKS CENTER FOR DIGESTIVE HEALTH,39C0001114,1639176183,WYOMISSING,PA,19610,2024,0.000,,0.006,,0.000,,0.069,,82.90,,,5,6166,No Different Than the National Rate,8.6,7,10.5,,,5,,5,,,,,,5,,,,,,5,68,No Different than expected,1,0.5,1.7,
COLEMAN CATARACT AND EYE LASER SURGERY CENTER INC,25C0001041,1639177751,GREENWOOD,MS,38930,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.350,,,,,,,5,,,,,,5,,,,,,5
CY FAIR SURGERY CENTER,45C0001160,1639195217,HOUSTON,TX,77065,2024,,5,,5,,5,,1,95.12,,,5,791,No Different Than the National Rate,10,7.5,13.6,,,5,,5,57,No Different Than the National Rate,2.3,1.4,3.8,,,,,,,5,,Number of Cases Too Small,,,,1
VALLEY MEDICAL GROUP PC,22C0001044,1639203888,AMHERST,MA,01002,2024,0.000,,0.031,,0.000,,0.153,,98.41,,,5,1246,No Different Than the National Rate,10.6,8,14.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
BOSTON EYE SURGERY AND LASER CENTER TRUST,22C0001062,1639215502,WALTHAM,MA,02451,2024,,5,,5,,5,0.021,,,5,,5,,,,,,5,,5,0.464,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
THE SURGERY CENTER AT POINTE WEST,10C0001321,1639237092,BRADENTON,FL,34209,2024,,5,0.021,,,5,0.235,,,5,,5,,,,,,5,100.00,,,5,2060,No Different Than the National Rate,2.2,1.7,2.7,,,,,,,5,32,No Different than expected,1.1,0.6,1.9,
RENAL INTERVENTION CENTER LLC,14C0001102,1639242506,MORTON,IL,61550,2024,,5,,5,,5,0.528,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
POST STREET SURGERY LLC,05C0001561,1639252760,SAN FRANCISCO,CA,94115,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,42,No Different Than the National Rate,2.3,1.4,3.8,,,,,,,5,,Number of Cases Too Small,,,,1
SPECIALISTS ONE  DAY SURGERY LLC DBA SPECIALISTS ONE DAY SURGERY,33C0001063,1639261365,SYRACUSE,NY,13205,2024,0.000,,0.050,,0.000,,0.211,,,5,,5,,,,,,5,95.41,,,5,1823,No Different Than the National Rate,2.6,2,3.3,,,,,,,5,63,No Different than expected,0.9,0.5,1.7,
SPECIALISTS ONE DAY SURGERY LLC,33C0001182,1639261365,SYRACUSE,NY,13212,2024,0.000,,0.050,,0.000,,0.211,,,5,,5,,,,,,5,95.41,,,5,1823,No Different Than the National Rate,2.6,2,3.3,,,,,,,5,63,No Different than expected,0.9,0.5,1.7,
ENDO GROUP LLC DBA GARDEN CITY SURGICENTER,33C0001007,1639261407,GARDEN CITY,NY,11530,2024,0.000,,0.000,,0.000,,0.014,,,5,,5,,,,,,5,,5,0.565,,,,,,,5,,,,,,5,,,,,,5
ATLANTA ENDOSCOPY CENTER,11C0001077,1639282932,DECATUR,GA,30033,2024,,5,,5,,5,,5,,5,,5,196,No Different Than the National Rate,9.7,7,13.6,,,5,,5,,,,,,5,,,,,,5,,,,,,5
JOHNS HOPKINS SURGERY CENTERS SERIES DBA WHITE MARSH SURGERY CENTER SERIES,21C0001451,1639290026,NOTTINGHAM,MD,21236,2024,0.000,,0.029,,0.000,,0.201,,99.07,,,5,977,No Different Than the National Rate,10,7.4,13.5,,70.25,,0.090,,54,No Different Than the National Rate,2.3,1.4,3.7,,,,,,,5,32,No Different than expected,1,0.5,1.8,
SURGICENTER OF MURFREESBORO MEDICAL CLINIC,44C0001034,1639299803,MURFREESBORO,TN,37129,2024,0.000,,0.018,,0.000,,0.072,,,5,,5,2744,No Different Than the National Rate,9.2,7.1,12,,0.00,,0.229,,92,No Different Than the National Rate,2.2,1.4,3.6,,,,,,,5,268,No Different than expected,0.8,0.5,1.4,
THE NEUROSPINE CENTER LP,39C0001274,1639317399,LANCASTER,PA,17601,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
KISSIMMEE ENDOSCOPY CENTER,10C0001358,1639352347,KISSIMMEE,FL,34741,2024,0.000,,0.000,,0.000,,0.047,,65.00,,,5,364,No Different Than the National Rate,10.3,7.4,14.1,,,5,,5,,,,,,5,,,,,,5,,,,,,5
HEALING ARTS SURGERY CENTER INC,05C0001817,1639375108,BAKERSFIELD,CA,93301,2024,0.000,,0.000,,0.000,,0.000,,,5,0.00,,,Number of Cases Too Small,,,,1,,5,0.000,,40,No Different Than the National Rate,2.3,1.4,3.7,,,,,,,5,,Number of Cases Too Small,,,,1
CLI SURGERY CENTER,15C0001116,1639386659,KOKOMO,IN,46902,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.000,,,,,,,5,,,,,,5,,,,,,5
DESERT CLIFFS SURGERY CENTER LLC,03C0001233,1639431653,MESA,AZ,85202,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,2719,No Different than expected,0.7,0.5,1,
PHYSICIAN SURGERY CENTER OF ALBUQUERQUE LLC,32C0001121,1639456973,ALBUQUERQUE,NM,87122,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.938,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
LIVONIA OUTPATIENT SURGERY CENTER LLC,23C0001115,1639476377,LIVONIA,MI,48152,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.056,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
GEORGIA UROLOGY DBA GA UROLOGY AMBULATORY SURGERY CENTER MARIETTA,11C0001371,1639499627,MARIETTA,GA,30060,2024,,5,,5,,5,0.057,,,5,,5,,,,,,5,,5,,5,,,,,,5,184,No Different Than the National Rate,5.3,3.5,7.8,,,,,,,5
MONROEVILLE AMBULATORY SURGERY CENTER LLC,39C0001308,1639510175,MONROEVILLE,PA,15146,2024,0.000,,0.000,,0.000,,0.145,,86.43,,,5,381,No Different Than the National Rate,9.9,7.1,13.8,,98.68,,0.000,,200,No Different Than the National Rate,2.5,1.6,3.8,,,Number of Cases Too Small,,,,1,65,No Different than expected,1.1,0.6,2,
M HEALTH FAIRVIEW,24C0001089,1639553779,ST  PAUL,MN,55104,2024,0.000,,0.013,,0.006,,0.210,,98.33,,,5,403,No Different Than the National Rate,11.2,8,15.4,,89.95,,1.228,,112,No Different Than the National Rate,2.4,1.6,3.9,,141,No Different Than the National Rate,5.1,3.3,7.6,,161,No Different than expected,1.2,0.7,2.1,
BLUE BONNET SURGERY PAVILION,45C0001616,1639561640,WAXAHACHIE,TX,75165,2024,,5,,5,,5,,5,,5,,5,,Number of Cases Too Small,,,,1,,5,,5,,,,,,5,,,,,,5,,,,,,5
TRIAD SURGERY CENTER   MCALESTER LLC,37C0001072,1639566318,MCALESTER,OK,74501,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.377,,,,,,,5,,,,,,5,,,,,,5
SOUTH VALLEY SURGICAL CENTER,03C0001385,1639605595,SAN TAN VALLEY,AZ,85140,2024,0.000,,0.000,,0.000,,0.038,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
PRIME SURGICAL CENTER OF NEWPORT BEACH LLC,55C0001135,1639610348,NEWPORT BEACH,CA,92663,2024,,5,,5,,5,,5,,5,,5,38,No Different Than the National Rate,10.1,7.2,14.1,,,5,,5,157,No Different Than the National Rate,2.1,1.4,3.3,,,Number of Cases Too Small,,,,1,54,No Different than expected,0.9,0.5,1.5,
SURGERY CENTER AT THE RESERVE,04C0001093,1639615297,JONESBORO,AR,72401,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
PRESENCE LAKESHORE GASTROENTEROLOGY DBA DES PLAINES ENDOSCOPY CENTER,14C0001171,1639618036,DES PLAINES,IL,60016,2024,,5,0.029,,,5,0.000,,87.90,,,5,1141,No Different Than the National Rate,8.6,6.3,11.7,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
TRAILS EDGE SURGERY CENTER LLC,10C0001480,1639650161,BONITA SPRINGS,FL,34134,2024,,5,,5,,5,0.512,,,5,,5,,,,,,5,99.46,,,5,84,No Different Than the National Rate,2.6,1.7,4.1,,527,No Different Than the National Rate,5.9,4.6,7.5,,,Number of Cases Too Small,,,,1
ZAZEN SURGERY CENTER LLC,45C0001676,1639668080,KATY,TX,77494,2024,,5,,5,,5,,5,,5,,5,295,No Different Than the National Rate,10.6,7.7,14.6,,,5,,5,,,,,,5,,,,,,5,,,,,,5
UC HEALTH AMBULATORY SURGICAL CENTER INVERNESS ORTHOPEDICS AND SPINE SURGERY CENTER,06C0001177,1639669476,ENGLEWOOD,CO,80112,2024,0.000,,0.017,,0.000,,0.069,,,5,,5,,,,,,5,100.00,,,5,606,No Different Than the National Rate,2.5,1.7,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
UCSD CENTER FOR SURGERY OF ENCINITAS LP,05C0001029,1639694797,ENCINITAS,CA,92024,2024,0.000,,0.000,,0.000,,0.108,,89.08,,,5,64,No Different Than the National Rate,10,7.1,14.2,,100.00,,0.257,,218,No Different Than the National Rate,2.4,1.6,3.7,,,,,,,5,41,No Different than expected,0.9,0.5,1.7,
BAY RIDGE SURGI CENTER LLC,33C0001184,1639694805,BROOKLYN,NY,11209,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
NORTH ATLANTA EAR NOSE AND THROAT SURGICAL CENTER LLC,11C0001486,1639696529,CUMMING,GA,30040,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
ORTHOPAEDIC SURGERYC ENTER OF PANTHER CREEK LLC,34C0001213,1639701980,CARY,NC,27519,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,94.41,,,5,226,No Different Than the National Rate,2.1,1.4,3.4,,,,,,,5,,Number of Cases Too Small,,,,1
ADVANCED SURGICAL CARE OF WYOMING LLC,53C0001024,1639783335,GILLETTE,WY,82718,2024,0.000,,0.000,,0.000,,0.235,,100.00,,,5,36,No Different Than the National Rate,9.8,6.9,13.8,,99.72,,,5,122,No Different Than the National Rate,3.4,2.2,5.3,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
WILLIS SURGICENTER LLC DBA WILLIS SURGERY CENTER,45C0451255,1639804248,WILLIS,TX,77318,2024,0.000,,0.000,,0.063,,0.000,,92.86,,,5,,Number of Cases Too Small,,,,1,100.00,,0.402,,82,No Different Than the National Rate,2.3,1.5,3.8,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
MEDICAL CITY SURGERY CENTER OF ALLEN LLC,45C0001622,1639850415,ALLEN,TX,75013,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,73,No Different Than the National Rate,2.6,1.7,3.9,,,,,,,5,,,,,,5
PROVO SURGERY CENTER LLC,46C0001080,1639853757,PROVO,UT,84604,2024,0.000,,0.000,,0.000,,0.233,,,5,,5,,,,,,5,100.00,,0.000,,99,No Different Than the National Rate,2.3,1.5,3.6,,76,No Different Than the National Rate,7,4.6,10.2,,,Number of Cases Too Small,,,,1
LAKE LANSING SURGICAL CENTER LLC DBA MIDWEST VISION SURGERY CENTER OF LANSING,23C0001165,1639868771,EAST LANSING,MI,48823,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.000,,,,,,,5,,,,,,5,,,,,,5
MEMORIAL HERMANN SURGERY CENTER WOODFOREST LLC,45C0451294,1639948565,MONTGOMERY,TX,77316,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
VALLEY SURGICAL SUITES LLC,55C0001172,1649052903,NAPA,CA,94558,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,48,No Different Than the National Rate,2.6,1.7,4,,,,,,,5,,,,,,5
MES SURGERY CENTER LLC,27C0001103,1649055005,BOZEMAN,MT,59718,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
AKRON SURGICAL ASSOCIATES LLC,36C0001167,1649208679,AKRON,OH,44333,2024,0.000,,0.015,,0.000,,0.287,,96.33,,,5,435,No Different Than the National Rate,10.7,7.8,14.8,,100.00,,,5,364,No Different Than the National Rate,3,2,4.4,,138,No Different Than the National Rate,5.3,3.5,7.9,,89,No Different than expected,0.9,0.5,1.6,
BROUSSARD SURGERY INSTITUTE INC,19C0001031,1649215765,MONROE,LA,71203,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,6.550,,,,,,,5,,,,,,5,,,,,,5
RIVER DRIVE SURGERY CENTER LLC,31C0001116,1649218009,ELMWOOD PARK,NJ,07407,2024,0.000,,0.000,,0.000,,0.026,,,5,,5,,,,,,5,,5,0.405,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
UNASOURCE SURGERY CENTER,23C0001049,1649219536,TROY,MI,48098,2024,0.000,,0.014,,0.000,,0.014,,,5,,5,,,,,,5,97.79,,,5,1250,No Different Than the National Rate,2.5,1.9,3.3,,,Number of Cases Too Small,,,,1,61,No Different than expected,1,0.5,1.8,
CAMP LOWELL SURGERY CENTER DBA CARONDELET FOOTHILLS SURGERY CENTER,03C0001289,1649223124,TUCSON,AZ,85741,2024,0.000,,0.000,,0.000,,0.024,,,5,,5,,,,,,5,67.04,,0.000,,415,No Different Than the National Rate,2.6,1.8,3.9,,44,No Different Than the National Rate,5.5,3.4,8.7,,225,No Different than expected,1.3,0.8,2.1,
CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,03C0001290,1649223124,TUCSON,AZ,85712,2024,0.000,,0.000,,0.000,,0.024,,,5,,5,,,,,,5,67.04,,0.000,,415,No Different Than the National Rate,2.6,1.8,3.9,,44,No Different Than the National Rate,5.5,3.4,8.7,,225,No Different than expected,1.3,0.8,2.1,
PAVILIION SURGERY CENTER LLC,24C0001033,1649223629,DULUTH,MN,55805,2024,,5,,5,,5,,5,,5,,5,39,No Different Than the National Rate,10.1,7.3,14.3,,,5,,5,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
WEST PARK SURGERY CENTER LP,45C0001349,1649233180,MCKINNEY,TX,75069,2024,0.000,,0.000,,0.000,,0.066,,77.78,,,5,94,No Different Than the National Rate,9.7,7,13.5,,100.00,,0.225,,44,No Different Than the National Rate,2.7,1.6,4.3,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
GI ASC LLC,39C0001067,1649233719,PHILADELPHIA,PA,19114,2024,0.000,,0.068,,0.000,,0.109,,94.49,,,5,1600,No Different Than the National Rate,10.4,7.9,13.5,,,5,,5,,,,,,5,,,,,,5,,,,,,5
KINGSPORT TN OPTHALMOLOGY ASC LLC DBA THE REGIONAL EYE SURGERY CENTER,44C0001131,1649244211,KINGSPORT,TN,37660,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.094,,,,,,,5,,,,,,5,,,,,,5
SURGERY CENTER OF LAKELAND HILLS BLVD,10C0001446,1649244567,LAKELAND,FL,33805,2024,,5,0.105,,,5,0.232,,26.38,,,5,145,No Different Than the National Rate,10.7,7.7,14.7,,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
LORAIN SURGERY CENTER LLC,36C0001202,1649250218,LORAIN,OH,44053,2024,0.000,,0.000,,0.000,,0.122,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
NACOGDOCHES SURGERY CENTER,45C0001281,1649252883,NACOGDOCHES,TX,75965,2024,,5,,5,,5,,5,,5,,5,464,No Different Than the National Rate,12.6,9.2,17.3,,,5,,5,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
PHYSICIANS ALLIANCE LC DBA PHYSICIANS ALLIANCE SURGERY CENTER,26C0001055,1649269663,CAPE GIRARDEAU,MO,63701,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,73,No Different Than the National Rate,2.3,1.4,3.7,,,,,,,5,,Number of Cases Too Small,,,,1
NORTHEAST REGIONAL SURGERY CENTER LLC,39C0001309,1649270075,PLAINS,PA,18705,2024,,5,,5,,5,0.061,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
ALPINE SURGICAL CENTER LLC,46C0001056,1649278581,OGDEN,UT,84405,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
BAPTIST PLAZA SURGICARE LP,44C0001133,1649287269,NASHVILLE,TN,37203,2024,0.000,,0.000,,0.000,,0.068,,,5,,5,,Number of Cases Too Small,,,,1,100.00,,,5,482,No Different Than the National Rate,2.4,1.6,3.6,,,,,,,5,62,No Different than expected,1,0.5,1.7,
SANSUM CLINIC,05C0001265,1649296807,SANTA BARBARA,CA,93105,2024,0.000,,0.010,,0.000,,0.000,,84.37,,,5,4865,No Different Than the National Rate,10.2,8.2,12.7,,,5,,5,,,,,,5,,,,,,5,,,,,,5
CROWN POINT SURGERY CENTER,06C0001085,1649310111,PARKER,CO,80138,2024,,5,,5,,5,,5,,5,,5,471,No Different Than the National Rate,10.9,8,15.1,,,5,,5,158,No Different Than the National Rate,2.6,1.7,4.1,,,,,,,5,53,No Different than expected,0.9,0.5,1.7,
SURGICARE SURGICAL ASSOCIATES OF ORADELL LLC,31C0001174,1649322496,ORADELL,NJ,07649,2024,,5,,5,,5,,5,52.99,,100.00,,171,No Different Than the National Rate,9.9,7.1,13.8,,98.08,,,5,,Number of Cases Too Small,,,,1,207,No Different Than the National Rate,6.4,4.4,9.1,,,Number of Cases Too Small,,,,1
SAMARITAN ENDOSCOPY LLC,38C0001076,1649327008,CORVALLIS,OR,97330,2024,,5,0.043,,,5,0.086,,94.51,,,5,1769,No Different Than the National Rate,10.8,8.3,14,,,5,,5,,,,,,5,,,,,,5,,,,,,5
NORTHERN PLAINS SURGERY CENTER LLC,35C0001016,1649350844,FARGO,ND,58103,2024,0.000,,0.030,,0.000,,0.000,,,5,,5,,,,,,5,,1,0.072,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
TRICOUNTY SURGERY CENTER,39C0001195,1649375452,SOUTHAMPTON,PA,18966,2024,,5,,5,,5,0.017,,,5,,5,,,,,,5,,5,0.363,,,,,,,5,,,,,,5,32,No Different than expected,1,0.6,1.9,
ADS HEALTHCARE LLC DBA ADS AMBULATORY SURGERY CENTER,17C0001044,1649376757,OVERLAND PARK,KS,66209,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,2233,No Different than expected,0.9,0.7,1.2,
SKYLINE SURGERY CENTER,06C0001094,1649378910,LOVELAND,CO,80537,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
HICKORY RIDGE SURGERY CTR,21C0001388,1649393695,COLUMBIA,MD,21044,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,115,No Different Than the National Rate,2.1,1.3,3.3,,,,,,,5,,Number of Cases Too Small,,,,1
PAIN MDS INC,03C0001327,1649407180,PHOENIX,AZ,85085,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,48,No Different Than the National Rate,2.4,1.6,3.7,,,,,,,5,,,,,,5
PREMIER SURGICAL CTR OF MICHIGAN,23C0001108,1649416231,CLINTON TOWNSHIP,MI,48038,2024,,5,0.090,,,5,0.225,,,5,,5,,Number of Cases Too Small,,,,1,,5,,5,222,No Different Than the National Rate,2.7,1.8,4,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
SKIN SURGERY CENTER OF VIRGINIA,49C0001054,1649443367,HENRICO,VA,23060,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,1896,No Different than expected,0.8,0.6,1.1,
POLARIS SURGERY CENTER,36C0001247,1649456021,WESTERVILLE,OH,43082,2024,0.000,,0.093,,0.000,,0.093,,,5,,5,,,,,,5,100.00,,,5,469,No Different Than the National Rate,2.9,2,4.2,,,,,,,5,31,No Different than expected,0.9,0.5,1.7,
OHIO VALLEY AMBULATORY SURGERY CENTER LLC,36C0001241,1649462409,BELPRE,OH,45714,2024,0.000,,0.000,,0.000,,0.161,,97.92,,,5,693,No Different Than the National Rate,11.3,8.4,15.3,,0.00,,,5,116,No Different Than the National Rate,2.8,1.8,4.6,,420,No Different Than the National Rate,5.5,4,7.5,,97,No Different than expected,1.1,0.6,1.9,
PRINCETON ORTHOPAEDIC ASSOCIATES II PA,31C0001077,1649463605,PRINCETON,NJ,08540,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,207,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
SOUTHWEST ENDOSCOPY   SURGERY CENTER,45C0001184,1649494170,BURLESON,TX,76028,2024,,5,,5,,5,,5,,5,,5,56,No Different Than the National Rate,10.1,7.1,14,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
NATIONAL AMBULATORY SURGERY CENTER LLC,05C0001148,1649500950,LOS GATOS,CA,95032,2024,0.000,,0.025,,0.000,,0.033,,90.21,,,5,2356,No Different Than the National Rate,9.6,7.4,12.4,,100.00,,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
NATIONAL AMBULATORY SURGERY CENTER LLC,55C0001111,1649500950,CAMARILLO,CA,93012,2024,0.000,,0.025,,0.000,,0.033,,90.21,,,5,2356,No Different Than the National Rate,9.6,7.4,12.4,,100.00,,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
UMM SHORE SURGERY CENTERS,21C0001503,1649501073,EASTON,MD,21601,2024,0.000,,0.000,,0.000,,0.027,,,5,,5,,,,,,5,98.63,,0.079,,,Number of Cases Too Small,,,,1,49,No Different Than the National Rate,5.3,3.3,8.4,,,Number of Cases Too Small,,,,1
THE SURGERY CENTER AT ORTHOPEDIC ASSOCIATES,33C0001137,1649511577,PUGHKEEPSIE,NY,12601,2024,0.075,,0.055,,,5,0.146,,,5,,5,,,,,,5,100.00,,,5,468,No Different Than the National Rate,2.2,1.5,3.3,,,,,,,5,,Number of Cases Too Small,,,,1
SURGCENTER NORTHEAST LLC,10C0001578,1649515354,ST PETERSBURG,FL,33704,2024,,5,,5,,5,0.318,,,5,,5,,,,,,5,100.00,,,5,69,No Different Than the National Rate,2.7,1.7,4.1,,,,,,,5,,Number of Cases Too Small,,,,1
MUNSTER SPECIALTY SURGERY CENTER,15C0001184,1649520057,MUNSTER,IN,46321,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,194,No Different Than the National Rate,2.3,1.5,3.4,,,,,,,5,,Number of Cases Too Small,,,,1
